Aika;Yö (kWh);Päivä (kWh)
04.02.2021 02;3.34;0.00
04.02.2021 03;3.25;0.00
04.02.2021 04;3.23;0.00
04.02.2021 05;3.37;0.00
04.02.2021 06;3.44;0.00
04.02.2021 07;0.00;6.03
04.02.2021 08;0.00;6.05
04.02.2021 09;0.00;4.09
04.02.2021 10;0.00;3.48
04.02.2021 11;0.00;3.68
04.02.2021 12;0.00;3.80
04.02.2021 13;0.00;3.11
04.02.2021 14;0.00;2.87
04.02.2021 15;0.00;2.76
04.02.2021 16;0.00;3.30
04.02.2021 17;0.00;4.32
04.02.2021 18;0.00;4.83
04.02.2021 19;0.00;4.50
04.02.2021 20;0.00;4.44
04.02.2021 21;0.00;5.16
04.02.2021 22;7.09;0.00
04.02.2021 23;6.91;0.00
05.02.2021 00;6.83;0.00
05.02.2021 01;5.49;0.00
05.02.2021 02;4.59;0.00
05.02.2021 03;4.65;0.00
05.02.2021 04;4.65;0.00
05.02.2021 05;4.81;0.00
05.02.2021 06;4.78;0.00
05.02.2021 07;0.00;6.40
05.02.2021 08;0.00;5.70
05.02.2021 09;0.00;4.36
05.02.2021 10;0.00;4.02
05.02.2021 11;0.00;3.79
05.02.2021 12;0.00;3.59
05.02.2021 13;0.00;3.71
05.02.2021 14;0.00;4.43
05.02.2021 15;0.00;5.41
05.02.2021 16;0.00;4.71
05.02.2021 17;0.00;5.49
05.02.2021 18;0.00;6.76
05.02.2021 19;0.00;5.71
05.02.2021 20;0.00;4.36
05.02.2021 21;0.00;4.34
05.02.2021 22;5.54;0.00
05.02.2021 23;6.07;0.00
06.02.2021 00;3.85;0.00
06.02.2021 01;3.44;0.00
06.02.2021 02;3.56;0.00
06.02.2021 03;3.61;0.00
06.02.2021 04;3.48;0.00
06.02.2021 05;3.57;0.00
06.02.2021 06;4.32;0.00
06.02.2021 07;0.00;3.83
06.02.2021 08;0.00;3.68
06.02.2021 09;0.00;3.65
06.02.2021 10;0.00;4.41
06.02.2021 11;0.00;3.63
06.02.2021 12;0.00;3.38
06.02.2021 13;0.00;3.60
06.02.2021 14;0.00;5.70
06.02.2021 15;0.00;4.85
06.02.2021 16;0.00;4.62
06.02.2021 17;0.00;4.93
06.02.2021 18;0.00;4.42
06.02.2021 19;0.00;5.79
06.02.2021 20;0.00;4.28
06.02.2021 21;0.00;4.37
06.02.2021 22;5.53;0.00
06.02.2021 23;6.07;0.00
07.02.2021 00;4.26;0.00
07.02.2021 01;3.01;0.00
07.02.2021 02;3.18;0.00
07.02.2021 03;3.16;0.00
07.02.2021 04;3.15;0.00
07.02.2021 05;3.49;0.00
07.02.2021 06;4.08;0.00
07.02.2021 07;0.00;3.74
07.02.2021 08;0.00;3.28
07.02.2021 09;0.00;2.98
07.02.2021 10;0.00;3.46
07.02.2021 11;0.00;4.72
07.02.2021 12;0.00;3.23
07.02.2021 13;0.00;4.65
07.02.2021 14;0.00;3.67
07.02.2021 15;0.00;3.49
07.02.2021 16;0.00;4.61
07.02.2021 17;0.00;4.15
07.02.2021 18;0.00;4.00
07.02.2021 19;0.00;4.88
07.02.2021 20;0.00;3.82
07.02.2021 21;0.00;4.00
07.02.2021 22;5.55;0.00
07.02.2021 23;5.48;0.00
08.02.2021 00;4.32;0.00
08.02.2021 01;3.37;0.00
08.02.2021 02;3.16;0.00
08.02.2021 03;3.09;0.00
08.02.2021 04;2.34;0.00
08.02.2021 05;2.48;0.00
08.02.2021 06;2.46;0.00
08.02.2021 07;0.00;4.24
08.02.2021 08;0.00;5.41
08.02.2021 09;0.00;3.59
08.02.2021 10;0.00;3.84
08.02.2021 11;0.00;3.55
08.02.2021 12;0.00;3.98
08.02.2021 13;0.00;3.56
08.02.2021 14;0.00;4.92
08.02.2021 15;0.00;3.91
08.02.2021 16;0.00;3.50
08.02.2021 17;0.00;3.53
08.02.2021 18;0.00;3.72
08.02.2021 19;0.00;3.94
08.02.2021 20;0.00;3.93
08.02.2021 21;0.00;3.98
08.02.2021 22;5.48;0.00
08.02.2021 23;5.33;0.00
09.02.2021 00;5.20;0.00
09.02.2021 01;3.61;0.00
09.02.2021 02;3.21;0.00
09.02.2021 03;3.15;0.00
09.02.2021 04;3.33;0.00
09.02.2021 05;3.36;0.00
09.02.2021 06;3.22;0.00
09.02.2021 07;0.00;4.68
09.02.2021 08;0.00;5.43
09.02.2021 09;0.00;3.72
09.02.2021 10;0.00;4.23
09.02.2021 11;0.00;3.57
09.02.2021 12;0.00;2.77
09.02.2021 13;0.00;3.42
09.02.2021 14;0.00;2.89
09.02.2021 15;0.00;4.13
09.02.2021 16;0.00;5.46
09.02.2021 17;0.00;5.40
09.02.2021 18;0.00;5.88
09.02.2021 19;0.00;5.46
09.02.2021 20;0.00;5.64
09.02.2021 21;0.00;5.82
09.02.2021 22;7.55;0.00
09.02.2021 23;7.03;0.00
10.02.2021 00;6.90;0.00
10.02.2021 01;6.78;0.00
10.02.2021 02;5.30;0.00
10.02.2021 03;4.89;0.00
10.02.2021 04;5.08;0.00
10.02.2021 05;4.94;0.00
10.02.2021 06;5.02;0.00
10.02.2021 07;0.00;5.11
10.02.2021 08;0.00;5.61
10.02.2021 09;0.00;3.71
10.02.2021 10;0.00;3.44
10.02.2021 11;0.00;3.89
10.02.2021 12;0.00;3.43
10.02.2021 13;0.00;3.51
10.02.2021 14;0.00;3.57
10.02.2021 15;0.00;2.59
10.02.2021 16;0.00;3.60
10.02.2021 17;0.00;4.42
10.02.2021 18;0.00;4.20
10.02.2021 19;0.00;4.21
10.02.2021 20;0.00;4.34
10.02.2021 21;0.00;4.37
10.02.2021 22;5.86;0.00
10.02.2021 23;5.40;0.00
11.02.2021 00;4.04;0.00
11.02.2021 01;3.50;0.00
11.02.2021 02;3.40;0.00
11.02.2021 03;3.71;0.00
11.02.2021 04;3.75;0.00
11.02.2021 05;3.73;0.00
11.02.2021 06;3.78;0.00
11.02.2021 07;0.00;5.12
11.02.2021 08;0.00;5.95
11.02.2021 09;0.00;4.13
11.02.2021 10;0.00;4.10
11.02.2021 11;0.00;3.83
11.02.2021 12;0.00;4.15
11.02.2021 13;0.00;4.00
11.02.2021 14;0.00;4.17
11.02.2021 15;0.00;4.19
11.02.2021 16;0.00;4.00
11.02.2021 17;0.00;4.17
11.02.2021 18;0.00;5.00
11.02.2021 19;0.00;4.60
11.02.2021 20;0.00;4.71
11.02.2021 21;0.00;4.42
11.02.2021 22;5.76;0.00
11.02.2021 23;5.23;0.00
12.02.2021 00;3.67;0.00
12.02.2021 01;3.69;0.00
12.02.2021 02;3.84;0.00
12.02.2021 03;3.54;0.00
12.02.2021 04;3.67;0.00
12.02.2021 05;3.60;0.00
12.02.2021 06;3.60;0.00
12.02.2021 07;0.00;4.88
12.02.2021 08;0.00;5.67
12.02.2021 09;0.00;3.78
12.02.2021 10;0.00;4.29
12.02.2021 11;0.00;4.74
12.02.2021 12;0.00;4.81
12.02.2021 13;0.00;3.74
12.02.2021 14;0.00;3.86
12.02.2021 15;0.00;3.78
12.02.2021 16;0.00;4.03
12.02.2021 17;0.00;4.02
12.02.2021 18;0.00;3.97
12.02.2021 19;0.00;4.17
12.02.2021 20;0.00;4.30
12.02.2021 21;0.00;4.39
12.02.2021 22;5.95;0.00
12.02.2021 23;5.79;0.00
13.02.2021 00;3.69;0.00
13.02.2021 01;3.55;0.00
13.02.2021 02;3.47;0.00
13.02.2021 03;3.42;0.00
13.02.2021 04;3.38;0.00
13.02.2021 05;3.40;0.00
13.02.2021 06;3.43;0.00
13.02.2021 07;0.00;5.01
13.02.2021 08;0.00;5.17
13.02.2021 09;0.00;3.58
13.02.2021 10;0.00;3.86
13.02.2021 11;0.00;4.73
13.02.2021 12;0.00;3.33
13.02.2021 13;0.00;2.19
13.02.2021 14;0.00;2.50
13.02.2021 15;0.00;2.58
13.02.2021 16;0.00;2.61
13.02.2021 17;0.00;3.03
13.02.2021 18;0.00;3.71
13.02.2021 19;0.00;3.72
13.02.2021 20;0.00;3.87
13.02.2021 21;0.00;5.07
13.02.2021 22;6.49;0.00
13.02.2021 23;5.21;0.00
14.02.2021 00;3.85;0.00
14.02.2021 01;3.06;0.00
14.02.2021 02;3.06;0.00
14.02.2021 03;3.03;0.00
14.02.2021 04;3.00;0.00
14.02.2021 05;3.12;0.00
14.02.2021 06;3.04;0.00
14.02.2021 07;0.00;3.15
14.02.2021 08;0.00;3.15
14.02.2021 09;0.00;3.42
14.02.2021 10;0.00;3.07
14.02.2021 11;0.00;3.07
14.02.2021 12;0.00;3.49
14.02.2021 13;0.00;4.10
14.02.2021 14;0.00;3.95
14.02.2021 15;0.00;2.93
14.02.2021 16;0.00;3.20
14.02.2021 17;0.00;3.92
14.02.2021 18;0.00;3.50
14.02.2021 19;0.00;3.74
14.02.2021 20;0.00;4.56
14.02.2021 21;0.00;4.17
14.02.2021 22;6.06;0.00
14.02.2021 23;5.51;0.00
15.02.2021 00;5.30;0.00
15.02.2021 01;5.22;0.00
15.02.2021 02;3.53;0.00
15.02.2021 03;3.35;0.00
15.02.2021 04;3.31;0.00
15.02.2021 05;3.26;0.00
15.02.2021 06;3.25;0.00
15.02.2021 07;0.00;4.78
15.02.2021 08;0.00;5.19
15.02.2021 09;0.00;3.47
15.02.2021 10;0.00;3.94
15.02.2021 11;0.00;5.86
15.02.2021 12;0.00;4.16
15.02.2021 13;0.00;2.95
15.02.2021 14;0.00;2.32
15.02.2021 15;0.00;2.23
15.02.2021 16;0.00;2.43
15.02.2021 17;0.00;3.35
15.02.2021 18;0.00;3.82
15.02.2021 19;0.00;4.23
15.02.2021 20;0.00;4.13
15.02.2021 21;0.00;4.07
15.02.2021 22;5.66;0.00
15.02.2021 23;5.39;0.00
16.02.2021 00;5.41;0.00
16.02.2021 01;5.11;0.00
16.02.2021 02;4.57;0.00
16.02.2021 03;3.13;0.00
16.02.2021 04;3.10;0.00
16.02.2021 05;3.05;0.00
16.02.2021 06;2.95;0.00
16.02.2021 07;0.00;4.14
16.02.2021 08;0.00;5.40
16.02.2021 09;0.00;4.80
16.02.2021 10;0.00;4.46
16.02.2021 11;0.00;3.57
16.02.2021 12;0.00;3.07
16.02.2021 13;0.00;2.72
16.02.2021 14;0.00;2.62
16.02.2021 15;0.00;2.81
16.02.2021 16;0.00;2.77
16.02.2021 17;0.00;2.96
16.02.2021 18;0.00;3.01
16.02.2021 19;0.00;3.20
16.02.2021 20;0.00;4.03
16.02.2021 21;0.00;4.21
16.02.2021 22;5.99;0.00
16.02.2021 23;5.61;0.00
17.02.2021 00;4.56;0.00
17.02.2021 01;3.71;0.00
17.02.2021 02;3.79;0.00
17.02.2021 03;3.89;0.00
17.02.2021 04;3.75;0.00
17.02.2021 05;3.95;0.00
17.02.2021 06;3.96;0.00
17.02.2021 07;0.00;5.44
17.02.2021 08;0.00;6.22
17.02.2021 09;0.00;4.26
17.02.2021 10;0.00;4.28
17.02.2021 11;0.00;4.75
17.02.2021 12;0.00;5.02
17.02.2021 13;0.00;5.07
17.02.2021 14;0.00;4.02
17.02.2021 15;0.00;4.10
17.02.2021 16;0.00;3.45
17.02.2021 17;0.00;3.75
17.02.2021 18;0.00;5.19
17.02.2021 19;0.00;4.52
17.02.2021 20;0.00;4.98
17.02.2021 21;0.00;4.86
17.02.2021 22;6.34;0.00
17.02.2021 23;6.31;0.00
18.02.2021 00;3.75;0.00
18.02.2021 01;6.51;0.00
18.02.2021 02;5.58;0.00
18.02.2021 03;4.42;0.00
18.02.2021 04;4.52;0.00
18.02.2021 05;4.61;0.00
18.02.2021 06;4.64;0.00
18.02.2021 07;0.00;5.85
18.02.2021 08;0.00;5.25
18.02.2021 09;0.00;4.82
18.02.2021 10;0.00;4.86
18.02.2021 11;0.00;4.72
18.02.2021 12;0.00;5.49
18.02.2021 13;0.00;3.89
18.02.2021 14;0.00;3.73
18.02.2021 15;0.00;3.72
18.02.2021 16;0.00;3.97
18.02.2021 17;0.00;4.06
18.02.2021 18;0.00;4.77
18.02.2021 19;0.00;4.24
18.02.2021 20;0.00;4.84
18.02.2021 21;0.00;5.24
18.02.2021 22;6.60;0.00
18.02.2021 23;6.42;0.00
19.02.2021 00;4.77;0.00
19.02.2021 01;4.24;0.00
19.02.2021 02;4.23;0.00
19.02.2021 03;3.86;0.00
19.02.2021 04;3.94;0.00
19.02.2021 05;3.80;0.00
19.02.2021 06;3.78;0.00
19.02.2021 07;0.00;5.09
19.02.2021 08;0.00;5.58
19.02.2021 09;0.00;3.95
19.02.2021 10;0.00;4.05
19.02.2021 11;0.00;5.28
19.02.2021 12;0.00;5.69
19.02.2021 13;0.00;4.10
19.02.2021 14;0.00;3.16
19.02.2021 15;0.00;3.24
19.02.2021 16;0.00;3.44
19.02.2021 17;0.00;3.78
19.02.2021 18;0.00;4.42
19.02.2021 19;0.00;4.63
19.02.2021 20;0.00;3.79
19.02.2021 21;0.00;3.63
19.02.2021 22;4.85;0.00
19.02.2021 23;5.17;0.00
20.02.2021 00;4.27;0.00
20.02.2021 01;3.47;0.00
20.02.2021 02;3.47;0.00
20.02.2021 03;3.42;0.00
20.02.2021 04;3.35;0.00
20.02.2021 05;3.44;0.00
20.02.2021 06;3.38;0.00
20.02.2021 07;0.00;3.43
20.02.2021 08;0.00;3.87
20.02.2021 09;0.00;3.83
20.02.2021 10;0.00;3.65
20.02.2021 11;0.00;3.85
20.02.2021 12;0.00;3.61
20.02.2021 13;0.00;3.76
20.02.2021 14;0.00;3.56
20.02.2021 15;0.00;3.58
20.02.2021 16;0.00;3.18
20.02.2021 17;0.00;2.87
20.02.2021 18;0.00;2.83
20.02.2021 19;0.00;3.30
20.02.2021 20;0.00;4.51
20.02.2021 21;0.00;3.51
20.02.2021 22;5.21;0.00
20.02.2021 23;5.09;0.00
21.02.2021 00;5.04;0.00
21.02.2021 01;5.07;0.00
21.02.2021 02;3.92;0.00
21.02.2021 03;3.09;0.00
21.02.2021 04;3.13;0.00
21.02.2021 05;3.31;0.00
21.02.2021 06;3.29;0.00
21.02.2021 07;0.00;3.06
21.02.2021 08;0.00;2.99
21.02.2021 09;0.00;3.23
21.02.2021 10;0.00;3.48
21.02.2021 11;0.00;3.33
21.02.2021 12;0.00;3.46
21.02.2021 13;0.00;3.68
21.02.2021 14;0.00;3.26
21.02.2021 15;0.00;2.83
21.02.2021 16;0.00;3.39
21.02.2021 17;0.00;4.14
21.02.2021 18;0.00;5.45
21.02.2021 19;0.00;4.70
21.02.2021 20;0.00;3.93
21.02.2021 21;0.00;4.52
21.02.2021 22;5.79;0.00
21.02.2021 23;5.62;0.00
22.02.2021 00;3.65;0.00
22.02.2021 01;3.57;0.00
22.02.2021 02;3.55;0.00
22.02.2021 03;3.52;0.00
22.02.2021 04;3.44;0.00
22.02.2021 05;3.59;0.00
22.02.2021 06;3.64;0.00
22.02.2021 07;0.00;4.80
22.02.2021 08;0.00;5.61
22.02.2021 09;0.00;4.01
22.02.2021 10;0.00;4.38
22.02.2021 11;0.00;4.06
22.02.2021 12;0.00;3.62
22.02.2021 13;0.00;3.45
22.02.2021 14;0.00;2.83
22.02.2021 15;0.00;3.24
22.02.2021 16;0.00;3.91
22.02.2021 17;0.00;3.66
22.02.2021 18;0.00;4.35
22.02.2021 19;0.00;4.44
22.02.2021 20;0.00;4.17
22.02.2021 21;0.00;4.07
22.02.2021 22;5.90;0.00
22.02.2021 23;5.51;0.00
23.02.2021 00;5.54;0.00
23.02.2021 01;5.43;0.00
23.02.2021 02;3.94;0.00
23.02.2021 03;3.73;0.00
23.02.2021 04;3.76;0.00
23.02.2021 05;3.68;0.00
23.02.2021 06;3.69;0.00
23.02.2021 07;0.00;5.92
23.02.2021 08;0.00;4.92
23.02.2021 09;0.00;4.02
23.02.2021 10;0.00;4.08
23.02.2021 11;0.00;4.40
23.02.2021 12;0.00;3.90
23.02.2021 13;0.00;4.33
23.02.2021 14;0.00;4.65
23.02.2021 15;0.00;4.61
23.02.2021 16;0.00;5.93
23.02.2021 17;0.00;4.04
23.02.2021 18;0.00;4.08
23.02.2021 19;0.00;4.44
23.02.2021 20;0.00;4.17
23.02.2021 21;0.00;4.31
23.02.2021 22;5.82;0.00
23.02.2021 23;5.86;0.00
24.02.2021 00;5.37;0.00
24.02.2021 01;3.84;0.00
24.02.2021 02;3.74;0.00
24.02.2021 03;3.75;0.00
24.02.2021 04;3.74;0.00
24.02.2021 05;3.78;0.00
24.02.2021 06;3.71;0.00
24.02.2021 07;0.00;4.77
24.02.2021 08;0.00;6.52
24.02.2021 09;0.00;3.21
24.02.2021 10;0.00;3.16
24.02.2021 11;0.00;3.31
24.02.2021 12;0.00;3.31
24.02.2021 13;0.00;3.46
24.02.2021 14;0.00;3.45
24.02.2021 15;0.00;3.49
24.02.2021 16;0.00;4.07
24.02.2021 17;0.00;3.03
24.02.2021 18;0.00;3.17
24.02.2021 19;0.00;2.63
24.02.2021 20;0.00;2.51
24.02.2021 21;0.00;2.68
24.02.2021 22;5.16;0.00
24.02.2021 23;5.49;0.00
25.02.2021 00;5.47;0.00
25.02.2021 01;5.28;0.00
25.02.2021 02;5.28;0.00
25.02.2021 03;3.03;0.00
25.02.2021 04;3.00;0.00
25.02.2021 05;2.93;0.00
25.02.2021 06;2.44;0.00
25.02.2021 07;0.00;3.09
25.02.2021 08;0.00;2.74
25.02.2021 09;0.00;2.34
25.02.2021 10;0.00;2.54
25.02.2021 11;0.00;3.43
25.02.2021 12;0.00;2.71
25.02.2021 13;0.00;2.85
25.02.2021 14;0.00;2.72
25.02.2021 15;0.00;3.49
25.02.2021 16;0.00;3.68
25.02.2021 17;0.00;2.34
25.02.2021 18;0.00;2.19
25.02.2021 19;0.00;2.12
25.02.2021 20;0.00;2.26
25.02.2021 21;0.00;2.54
25.02.2021 22;5.07;0.00
25.02.2021 23;4.84;0.00
26.02.2021 00;4.47;0.00
26.02.2021 01;2.84;0.00
26.02.2021 02;2.64;0.00
26.02.2021 03;2.73;0.00
26.02.2021 04;2.49;0.00
26.02.2021 05;1.90;0.00
26.02.2021 06;1.87;0.00
26.02.2021 07;0.00;1.96
26.02.2021 08;0.00;2.07
26.02.2021 09;0.00;2.47
26.02.2021 10;0.00;2.88
26.02.2021 11;0.00;3.13
26.02.2021 12;0.00;3.02
26.02.2021 13;0.00;4.14
26.02.2021 14;0.00;2.17
26.02.2021 15;0.00;1.83
26.02.2021 16;0.00;1.77
26.02.2021 17;0.00;2.03
26.02.2021 18;0.00;2.60
26.02.2021 19;0.00;2.67
26.02.2021 20;0.00;2.48
26.02.2021 21;0.00;2.51
26.02.2021 22;4.39;0.00
26.02.2021 23;4.79;0.00
27.02.2021 00;3.58;0.00
27.02.2021 01;2.58;0.00
27.02.2021 02;2.60;0.00
27.02.2021 03;2.54;0.00
27.02.2021 04;2.64;0.00
27.02.2021 05;2.41;0.00
27.02.2021 06;1.83;0.00
27.02.2021 07;0.00;1.85
27.02.2021 08;0.00;2.55
27.02.2021 09;0.00;3.68
27.02.2021 10;0.00;2.13
27.02.2021 11;0.00;2.85
27.02.2021 12;0.00;2.75
27.02.2021 13;0.00;2.61
27.02.2021 14;0.00;2.01
27.02.2021 15;0.00;2.17
27.02.2021 16;0.00;1.75
27.02.2021 17;0.00;1.88
27.02.2021 18;0.00;1.87
27.02.2021 19;0.00;1.77
27.02.2021 20;0.00;2.25
27.02.2021 21;0.00;2.98
27.02.2021 22;4.70;0.00
27.02.2021 23;4.73;0.00
28.02.2021 00;4.77;0.00
28.02.2021 01;5.02;0.00
28.02.2021 02;3.30;0.00
28.02.2021 03;3.26;0.00
28.02.2021 04;2.72;0.00
28.02.2021 05;2.11;0.00
28.02.2021 06;2.14;0.00
28.02.2021 07;0.00;2.14
28.02.2021 08;0.00;2.15
28.02.2021 09;0.00;2.52
28.02.2021 10;0.00;3.04
28.02.2021 11;0.00;3.56
28.02.2021 12;0.00;2.83
28.02.2021 13;0.00;2.73
28.02.2021 14;0.00;1.70
28.02.2021 15;0.00;1.81
28.02.2021 16;0.00;1.73
28.02.2021 17;0.00;1.82
28.02.2021 18;0.00;1.87
28.02.2021 19;0.00;2.35
28.02.2021 20;0.00;2.86
28.02.2021 21;0.00;2.77
28.02.2021 22;5.08;0.00
28.02.2021 23;5.65;0.00
01.03.2021 00;4.56;0.00
01.03.2021 01;3.45;0.00
01.03.2021 02;3.45;0.00
01.03.2021 03;3.44;0.00
01.03.2021 04;3.28;0.00
01.03.2021 05;2.63;0.00
01.03.2021 06;2.75;0.00
01.03.2021 07;0.00;2.71
01.03.2021 08;0.00;2.77
01.03.2021 09;0.00;2.82
01.03.2021 10;0.00;4.09
01.03.2021 11;0.00;3.08
01.03.2021 12;0.00;3.05
01.03.2021 13;0.00;2.87
01.03.2021 14;0.00;2.01
01.03.2021 15;0.00;2.81
01.03.2021 16;0.00;2.03
01.03.2021 17;0.00;2.06
01.03.2021 18;0.00;2.07
01.03.2021 19;0.00;2.18
01.03.2021 20;0.00;2.82
01.03.2021 21;0.00;3.77
01.03.2021 22;5.71;0.00
01.03.2021 23;5.53;0.00
02.03.2021 00;4.44;0.00
02.03.2021 01;3.52;0.00
02.03.2021 02;3.42;0.00
02.03.2021 03;3.49;0.00
02.03.2021 04;3.31;0.00
02.03.2021 05;2.62;0.00
02.03.2021 06;2.80;0.00
02.03.2021 07;0.00;2.84
02.03.2021 08;0.00;2.84
02.03.2021 09;0.00;3.46
02.03.2021 10;0.00;3.21
02.03.2021 11;0.00;2.96
02.03.2021 12;0.00;3.51
02.03.2021 13;0.00;2.14
02.03.2021 14;0.00;2.06
02.03.2021 15;0.00;1.99
02.03.2021 16;0.00;2.49
02.03.2021 17;0.00;2.25
02.03.2021 18;0.00;2.63
02.03.2021 19;0.00;2.51
02.03.2021 20;0.00;2.61
02.03.2021 21;0.00;3.25
02.03.2021 22;5.06;0.00
02.03.2021 23;5.21;0.00
03.03.2021 00;3.46;0.00
03.03.2021 01;3.59;0.00
03.03.2021 02;3.64;0.00
03.03.2021 03;3.51;0.00
03.03.2021 04;3.68;0.00
03.03.2021 05;3.60;0.00
03.03.2021 06;3.64;0.00
03.03.2021 07;0.00;3.73
03.03.2021 08;0.00;3.78
03.03.2021 09;0.00;3.57
03.03.2021 10;0.00;3.08
03.03.2021 11;0.00;3.32
03.03.2021 12;0.00;2.73
03.03.2021 13;0.00;2.47
03.03.2021 14;0.00;2.75
03.03.2021 15;0.00;2.19
03.03.2021 16;0.00;2.38
03.03.2021 17;0.00;2.80
03.03.2021 18;0.00;3.24
03.03.2021 19;0.00;3.28
03.03.2021 20;0.00;3.27
03.03.2021 21;0.00;4.49
03.03.2021 22;5.55;0.00
03.03.2021 23;5.57;0.00
04.03.2021 00;5.25;0.00
04.03.2021 01;5.03;0.00
04.03.2021 02;4.54;0.00
04.03.2021 03;2.61;0.00
04.03.2021 04;2.59;0.00
04.03.2021 05;2.59;0.00
04.03.2021 06;3.41;0.00
04.03.2021 07;0.00;3.48
04.03.2021 08;0.00;3.59
04.03.2021 09;0.00;3.77
04.03.2021 10;0.00;4.12
04.03.2021 11;0.00;4.39
04.03.2021 12;0.00;5.10
04.03.2021 13;0.00;3.78
04.03.2021 14;0.00;3.21
04.03.2021 15;0.00;2.60
04.03.2021 16;0.00;3.44
04.03.2021 17;0.00;3.50
04.03.2021 18;0.00;3.54
04.03.2021 19;0.00;3.71
04.03.2021 20;0.00;3.14
04.03.2021 21;0.00;3.64
04.03.2021 22;5.79;0.00
04.03.2021 23;5.66;0.00
05.03.2021 00;5.36;0.00
05.03.2021 01;5.40;0.00
05.03.2021 02;5.34;0.00
05.03.2021 03;5.42;0.00
05.03.2021 04;5.39;0.00
05.03.2021 05;4.34;0.00
05.03.2021 06;3.61;0.00
05.03.2021 07;0.00;3.74
05.03.2021 08;0.00;3.72
05.03.2021 09;0.00;3.66
05.03.2021 10;0.00;3.90
05.03.2021 11;0.00;4.73
05.03.2021 12;0.00;3.13
05.03.2021 13;0.00;3.21
05.03.2021 14;0.00;2.87
05.03.2021 15;0.00;3.61
05.03.2021 16;0.00;2.42
05.03.2021 17;0.00;2.59
05.03.2021 18;0.00;3.22
05.03.2021 19;0.00;3.38
05.03.2021 20;0.00;3.22
05.03.2021 21;0.00;3.56
05.03.2021 22;5.99;0.00
05.03.2021 23;5.66;0.00
06.03.2021 00;5.62;0.00
06.03.2021 01;5.45;0.00
06.03.2021 02;5.72;0.00
06.03.2021 03;4.17;0.00
06.03.2021 04;3.63;0.00
06.03.2021 05;3.77;0.00
06.03.2021 06;3.85;0.00
06.03.2021 07;0.00;3.82
06.03.2021 08;0.00;3.76
06.03.2021 09;0.00;3.81
06.03.2021 10;0.00;2.95
06.03.2021 11;0.00;3.13
06.03.2021 12;0.00;2.38
06.03.2021 13;0.00;2.16
06.03.2021 14;0.00;3.44
06.03.2021 15;0.00;2.89
06.03.2021 16;0.00;4.20
06.03.2021 17;0.00;4.96
06.03.2021 18;0.00;3.52
06.03.2021 19;0.00;3.73
06.03.2021 20;0.00;4.11
06.03.2021 21;0.00;4.07
06.03.2021 22;5.31;0.00
06.03.2021 23;4.80;0.00
07.03.2021 00;2.87;0.00
07.03.2021 01;2.29;0.00
07.03.2021 02;2.38;0.00
07.03.2021 03;2.44;0.00
07.03.2021 04;3.19;0.00
07.03.2021 05;3.12;0.00
07.03.2021 06;3.20;0.00
07.03.2021 07;0.00;3.21
07.03.2021 08;0.00;3.14
07.03.2021 09;0.00;3.03
07.03.2021 10;0.00;3.45
07.03.2021 11;0.00;3.27
07.03.2021 12;0.00;2.25
07.03.2021 13;0.00;3.51
07.03.2021 14;0.00;3.54
07.03.2021 15;0.00;2.73
07.03.2021 16;0.00;2.39
07.03.2021 17;0.00;2.50
07.03.2021 18;0.00;2.74
07.03.2021 19;0.00;2.81
07.03.2021 20;0.00;2.83
07.03.2021 21;0.00;3.36
07.03.2021 22;5.78;0.00
07.03.2021 23;5.41;0.00
08.03.2021 00;5.51;0.00
08.03.2021 01;5.45;0.00
08.03.2021 02;4.30;0.00
08.03.2021 03;3.43;0.00
08.03.2021 04;3.59;0.00
08.03.2021 05;3.52;0.00
08.03.2021 06;3.64;0.00
08.03.2021 07;0.00;4.72
08.03.2021 08;0.00;5.51
08.03.2021 09;0.00;4.49
08.03.2021 10;0.00;4.34
08.03.2021 11;0.00;3.08
08.03.2021 12;0.00;3.04
08.03.2021 13;0.00;4.78
08.03.2021 14;0.00;3.86
08.03.2021 15;0.00;2.75
08.03.2021 16;0.00;3.05
08.03.2021 17;0.00;2.92
08.03.2021 18;0.00;3.20
08.03.2021 19;0.00;3.39
08.03.2021 20;0.00;3.20
08.03.2021 21;0.00;3.54
08.03.2021 22;5.75;0.00
08.03.2021 23;5.62;0.00
09.03.2021 00;5.88;0.00
09.03.2021 01;5.72;0.00
09.03.2021 02;5.32;0.00
09.03.2021 03;3.72;0.00
09.03.2021 04;3.72;0.00
09.03.2021 05;3.85;0.00
09.03.2021 06;3.91;0.00
09.03.2021 07;0.00;5.18
09.03.2021 08;0.00;5.72
09.03.2021 09;0.00;4.15
09.03.2021 10;0.00;3.51
09.03.2021 11;0.00;3.54
09.03.2021 12;0.00;5.23
09.03.2021 13;0.00;5.03
09.03.2021 14;0.00;3.54
09.03.2021 15;0.00;3.06
09.03.2021 16;0.00;3.42
09.03.2021 17;0.00;3.82
09.03.2021 18;0.00;3.48
09.03.2021 19;0.00;3.54
09.03.2021 20;0.00;4.37
09.03.2021 21;0.00;4.80
09.03.2021 22;6.14;0.00
09.03.2021 23;6.31;0.00
10.03.2021 00;5.72;0.00
10.03.2021 01;4.31;0.00
10.03.2021 02;4.42;0.00
10.03.2021 03;4.44;0.00
10.03.2021 04;4.45;0.00
10.03.2021 05;4.51;0.00
10.03.2021 06;4.53;0.00
10.03.2021 07;0.00;4.69
